job_title,company_title,job_description
Data Analyst,Mr. Cooper,"At Mr. Cooper Group, You Make the Dream Possible.

Our purpose is simple: Keeping the dream of homeownership alive. As a Mr. Cooper Group team member, you play a big role in making that dream possible. Around here, we know our roles and work together, volunteer to make a difference, and challenge the status quo when needed. Everything we do is in the care and service of our teammates and our customers.

Join us and make the dream of home ownership possible!

Responsible for planning computerized databases, including base definition, structure, documentation, long-range requirements, operational guidelines and protection. Ensures accuracy and completeness of data in master files and various support tools, such as base dictionaries. Establishes and maintains security and integrity controls. Formulates and monitors policies, procedures and standards relating to database management. Proposes and implements enhancements that will improve the performance and reliability of the system.

Mr. Cooper Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or status as a protected veteran. EOE/M/F/D/V

Job Requisition ID

022410

Job Category

Information Technology

Primary Location City:

Chennai

Primary Location Region:

Tamil Nadu

Primary Location Postal Code:

600089

Primary Location Country:

India

Additional Posting Location(s):"
Data Analyst,Myntra,"Responsibilities

Data Analyst : 

Building templates, dashboards in Excel /Google Sheet / PowerBI for operational and management reporting
Statistical and Analytical Models and methods for data analysis related to customer initiatives & growth hacks including issue diagnosis, problem dissection and tracking of results
Running and maintaining the reporting system 
Data extraction as per business request for Ad hoc analysis 
Assisting the team in data analysis and mining
Business analysis and understanding to highlight key lead indicators 

Skills

Strong database concepts and experience in SQL – can convert any business requirement into a SQL statement
Expertise in Excel, PowerBI

Working experience in R, Python, Tableau, Qlikview, Datastudio is a good to haveExperience of working in a customer growth/customer analytics role is a plus

Quick learner and ability to work in dynamic work environment
Team player and comfortable interacting with people from multiple disciplines

Qualifications

Bachelors in Engineering, Computer Science, Math, Statistics, or related discipline from a reputed institute or an MBA from a reputed institute
2+ years of experience in working on reporting / business intelligence systems"
Remote Python Data Science Analyst,Turing,"A prominent US client is seeking a Data Scientist.

The role involves undertaking meticulous peer code reviews and providing constructive feedback. You'll work collaboratively with a team of researchers and stakeholders to meet the project's objectives, driving forward the secure advancement of cutting-edge technology for the betterment of future generations.

Main Duties

Craft Python code to solve tough problems and pull out insights from public data.
Make your code's thinking clear in Jupyter notebooks.
Sort out code errors and write detailed notes on how things work.
Use your data skills to answer big work questions with data from places like Kaggle or government sources.

Needed Skills

Bachelor's or Master's degree in Engineering or Computer Science, or equivalent experience.
A minimum of 2 years' experience in data science.
Proficiency in data exploration with at least 2 years of hands-on practice.
2 years of coding experience with Python.
Advanced knowledge in data science and analysis.
Excellent English communication skills, both spoken and written.

Nice To Have

Knowledge of SQL would be an added advantage.
Be great at talking and working with the research team.
Need strong business smarts and data talent to make sense of data and share what you learn.
Top-notch problem-solving and thinking skills.

Perks Of Joining Us

Team up with world-class experts and innovators from all over the map, and expand your network as far as your aspirations go.
This is the ultimate opportunity for freedom-seekers who prefer to work remotely from any location they like.
Get a great compensation in US dollars, aligning with a worldwide earning standard.
Engage in groundbreaking ventures that challenge and advance the tech frontier, ensuring you’re always leading at front

Apply today and leave your mark on how we connect with devices. Raise your career prospects by finishing the tests and MCQs fast, increasing your chance of matching with the forward-thinking projects."
Analyst - Data Scientist,AstraZeneca,"Job Title - Analyst - Data Scientist

Career Level - C3

About Astrazeneca

AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development, and commercialization of prescription medicines for some of the world’s most serious disease. But we’re more than one of the world’s leading pharmaceutical companies. At AstraZeneca we’re dedicated to being a Great Place to Work.

Who we are: 

The Global Business Service (GBS) team sits within Finance at AstraZeneca and is a dynamic and results-oriented environment and provides a range of enterprise-wide services. We dare to change the way we work by freeing up the business to push the boundaries of science to deliver life-changing medicines. We aim to do this by freeing up time, freeing up money, protecting AZ’s value and providing new capabilities.

What we do: 

A trusted partner to the business, we’re on a mission to make AstraZeneca more agile, efficient and effective. Through our hybrid model of in-house delivery centers and service towers across the globe, we’re reimagining how we work. Here we drive new ways of working and operating models, process simplification and innovative solutions, whilst ensuring that automation and data is at the heart of everything.

How we do it:

Be part of a team building a community. We interact with diverse cultures and perspectives and are united by our sense of belonging. This is the place to learn and grow together.

Why we love it:


As a growing multi-national company, there’s so much potential to develop. Embrace opportunities at a global business that’s facing new and varied challenges. This is the place to build an exemplary, international CV.
A fun place to be, we’re creating community hubs that build partnerships, not just working relationships.
We’re on an exciting journey to take our team to the next stage. This is the place to leave a legacy behind.
We are a diverse, inclusive and innovative group who identify, build and deliver excellent shared services (which everyone can leverage) to enable AstraZeneca to grow and change at speed. We are passionate about simple process – making it easier to get vital repeatable services done – for our patients, for our customers, for our teams.
We focus on providing exceptional value that contributes to our company’s success and future by freeing up the business (our customers) to push the boundaries of science to deliver life-changing medicines for patients. With the accomplishments, commitment and passion that you bring, I’m excited about what we will achieve together towards realizing AstraZeneca’s bold ambition.


About The Role

Data Scientist in Data Science & Advanced Analytics team is an incredible opportunity within the Commercial Strategic Data Management team to support the transformation of advanced analytics for Rare Disease Unit by crafting, developing, and fielding data science solutions that drive impact for patients. The primary focus will be on leveraging advanced analytics techniques and data science methodologies to solve complex business problems, generate disease/treatment insight, support HCP lead generation, and drive business growth. This role will work closely with Marketing, US Commercial leadership, Sales Field Team, and Field Operations. This role will help further build the data science capability supporting Commercial. There will also be an opportunity to help share the data and analytics strategy supporting lead generation and other key business priorities. The position will be reporting to the Director of Data Science and Advanced Analytics Lead.

You will be responsible for:


Work with the Commercial Cross-functional team to identify opportunities for leveraging internal and external data to drive business solutions.
Responsible for advanced data science expertise to multiple cross-functional projects and drive delivery of complex data science solutions that drive value to Commercial Organization
Support the development and deployment of analytical models in statistical forecasting, marketing analytics, Marketing Mix Modeling, Multi Touch Attribution modeling, automation platforms, and Machine Learning
Leads complex projects using wide breadth of data sciences and advanced techniques
Leads large scale projects that utilize online & offline data, structured & unstructured data, set top box data (media/behavioral/attitudinal) to build customer centric models and optimization tools
Create, manage, and maintain scalable analytical models for recurring analyses and future use case
Conduct analytics against HCP and de-identified patient-level healthcare data to drive disease insight and support HCP lead generation
Lead the development of statistical and machine learning models to quantify the effect and interactions that affect patients’ and their healthcare journeys
Develop statistical model-based Omni-channel marketing solutions based on rich and complicated healthcare data to optimize the delivery of messages and maximize the impact across different channels
Optimize existing and develop new prospecting ML tools/model to support patient finding and HCP identification
Use predictive modeling to increase and optimize customer experiences, revenue generation, targeting, and other business outcomes
Collaborates across the Commercial cross-functional team and AI community to develop best practices and cross-functional opportunities that drive value
Help build team of data scientists to establish in-house advanced analytics capabilities
Support Ad-hoc Analyses.


You will need to have:


BS/MS in a quantitative field (Computer Science, Data Science, Engineering, Information Systems, Economic) with strong knowledge of statistical analysis and modeling
5+ years of work experience with statistical and predictive modeling, preferably in consulting, healthcare, or biopharmaceuticals
Strong communication skills and ability to communicate complex methods and results to diverse audiences.
Deep experience with analytic tools/languages (e.g., R / Python / Dataiku/Databricks/Qlik) and experience with machine learning and artificial intelligence techniques
Proven ability in extracting insights from statistical models, such as linear regression, clustering algorithms, random forest models, time series, Neural Networks, etc.
Hands-on Experience working with EHR, administrative claims, and laboratory data (e.g., Prognos, IQVIA, Komodo, Symphony claims data)
Candidate must have technical experience in database structures, query languages, structured programming languages, and the ability to query large datasets using ANSI SQL/HIVE SQL and working with relational databases
Ability to analyze and visualize data using data visualization techniques
Proficiency in data manipulation, cleansing, and interpretation
The duties of this role are generally conducted in an office environment. As is typical of an office-based role, employees must be able, with or without an accommodation to: use a computer; engage in communications via phone, video, and electronic messaging; engage in problem solving and non-linear thought, analysis, and dialogue; collaborate with others; maintain general availability during standard business hours.


We would prefer for you to have:


Knowledge of distributed computing and Big Data Technologies like Hive, Spark, Scala, HDFS and use data and these technologies along with statistical tools like Python/R, etc
Familiarity with data visualization tools like Tableau, Qlik Sense, Power BI, Excel charts/reports
Prior experience with Data Tokenization
Working knowledge of the Salesforce/Veeva CRM, Data governance, and Data mining algorithms.


WHY JOIN US?

We’re a network of high-reaching self-starters who contribute to something far bigger. We enable AstraZeneca to perform at its peak by delivering premier technology and data solutions.

We’re not afraid to take ownership and run with it. Empowered with unrivalled freedom. Put simply, it’s because we make a significant impact. Everything we do matters.

SO, WHAT’S NEXT? 

Are you already envisioning yourself joining our team? Good, because we’d love to hear from you! Click the link to apply and we’ll be in touch as soon as we can.

WHERE CAN I FIND OUT MORE? 

Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status."
Data Analyst,Tech Mahindra,"Job Summary

TO contribute TO a project ON a given technology OR domain AND remain abreast WITH developments IN that technology OR domain. Basis the expertise, support the evaluation OF the impact OF technology ON existing technology AND systems Be involved IN designing systems. Assess the effectiveness OF technology resources already IN use OR OF NEW systems that are being implemented. WORK ON the impact OF changes AND modification OF systems. Ensure the optimization, validation, AND approval OF technology application TO customer products. Fully understand ALL relevant customer technical requirements, processes, procedures, limitations AND CONSTRAINTS AS well AS TechM¿s technology, resources, capabilities, limitations AND constraints. WORK WITH the project team TO identify AND harness technical resources AND capabilities required TO deliver production AND quality metrics AS defined BY customers Guide technical team through project implementation phase. Perform ALL activities related TO maintaining successful knowledge management including re usage, accuracy AND efficiency. Promote team WORK, motivate, mentor AND develop subordinates. Provide application production support AS per process /RACI (Responsible, Accountable, Consulted AND Informed) Matrix."
Data Analyst,Organic Mandya,"Company Description
Organic Mandya, founded by Madhu Chandan, is a sustainable farming initiative based in Mandya. The organization promotes organic farming practices to provide sustainable livelihoods to farmers and offer 100% organic food to consumers. With over 7000 farmers in the cooperative society, Organic Mandya conducts training sessions on natural farming techniques and sells organic produce in Bangalore.

Role Description
This is a full-time on-site role for a Data Analyst at Organic Mandya in Bengaluru. The Data Analyst will be responsible for analyzing retail, social media data, conducting statistical analysis, and developing data models to support decision-making processes within the organization.

Qualifications
Analytical Skills, Data Analytics, and Statistics
Strong Communication skills
Data Modeling expertise
Experience in retail/FMCG data analysis is a plus
Bachelor's or Master's degree in Data Science, Statistics, Agriculture, or related field"
Data & Business Intelligence Analyst,UPS,"Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are roles ready to cultivate your skills and take you to the next level.

Job Description:

This position provides strategic, analytical, and technical support for data and business intelligence activities. This position leverages data to gain key insight into business opportunities, and effectively presents these insights to business stakeholders. This position participates in the creation, distribution, and delivery of analytics reports, tables, graphs, and communication materials that effectively summarize findings and support recommendations.

Requirements

BI (Looker Platform, Looker Studio / Pro & Tableau)
SQL, LookML, Git Repo, Python, R
Ability to create high level robust enterprise BI Applications
Ability to develop semantic models 


Secondary Skills:

BigQuery, GCP Console and Data Engineering

Additional Information

This role will be in-office 3 days a week in Chennai, India


Employee Type:

Permanent

UPS is committed to providing a workplace free of discrimination, harassment, and retaliation."
Junior Data Analyst,Cognizant,"Team Lead - CDM/PV

Qualification

Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse

Responsibility

Business/ Customer:

 Minimal Customer interaction under guidance.
 Understands Domain Process/sub process, functions, terminologies (such as SOP, QC checklists).
 For PV/Complaints Management Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity the associate is responsible for meeting turnaround times and accuracy.
 These associates are usually used to handle more critical/senitive transactions.

Coding

(same as PE)

 Perform coding activities on the assigned project with timelines and efficiency.
 Import uncoded terms in database and export coded medical terms from coding platform.
 Query Management.
 Create “New Term Request” and prioritize.
 Perform Dictionary upversioning activity as and when required.

Cdm

 Performs Migrations / Set up / Close out activities apart from Study Conduct activities under supervision and quality checks from Team Lead.
 May do the Peer QC of the TJDA activities.
 Generates all study related reports, status updates, and carries out all study related email conversation and communication with internal stakeholders and Client.

Project / Process

 Attempts Complex problems (procedures/processes) and refers to Supervisor/Line Manager in rare cases.
 Handle first level processing of transactions.
 Adhere to quality requirements, achieve targets/volumes in given TAT(Turn around time).
 Proactively identify issues.
 Contribute to process improvement initiatives.
 Identify and report process changes.
 Adhere to the mandatory industry regulation and compliance requirements for the given process.

Knowledge Management

 Update Process documentation as appropriate for the process under guidance.
 Participate in knowledge transfer.

People/Team Management

 Adhere to org hygiene and compliance needs in terms of.
 a Personal Utilization & Time sheet submission.
 b Personal and new hire Assimilation.
 c Attendance.
 d Team Initiatives.
 Collate team performance metrics.
 Manage break schedule/transport logistics for the team in the absence of his/her supervisor.

Must Have Skills

Pharma clinical process
Clinical Site Management
Clinical Data Management"
Analyst-Data Analytics,American Express,"You Lead the Way. We’ve Got Your Back.

With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.

At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.

Join Team Amex and let's lead the way together.

The Global Services Group (GSG) organization delivers extraordinary customer care to Cardmember, Merchants, & Commercial clients around the world while providing best-in-class Credit, Collections, & Fraud services.

The GSG Late-Stage Collection Strategy is responsible for enabling US and International Collection organization by developing and optimizing placement, segmentation, pricing, and treatment strategies across the entire collections lifecycle. Late Stage Collection Strategy team will drive enhanced collections effectiveness, reduce operational risk, accelerate digital outreach, and expand treatment options, thereby driving various functional business outcomes.

Responsibilities Include:

Design/Develop late stage collection strategies & multiple treatment offers across globe by leveraging data analytics to drive higher collection effectiveness.
Systematically identifying out of pattern trends across collection lifecycle in a timely manner. Develop and implement solutions to overcome out of pattern trends.
Working independently assuming responsibility for the development, validation and implementation of Collections projects
Collaborate with global teams evaluating processes and making suggestions for process and system improvements.
Interacting with all levels of the organization across multiple time zones

Qualifications

Up-to 3 years of experience in related field.
Bachelor's Degree or equivalent, preferably in a quantitative field
Post-graduate degree in a quantitative field
Proven thought leadership, Strong problem solving and communication, relationship management skills
High Proficiency on Hive/SQL/Big Query/Python/Statistical packages is essential
Conceptual and creative thinker with extensive background and interest in quantitative business analytics

We back our colleagues and their loved ones with benefits and programs that support their holistic well-being. That means we prioritize their physical, financial, and mental health through each stage of life. Benefits include:

Competitive base salaries 
Bonus incentives 
Support for financial-well-being and retirement 
Comprehensive medical, dental, vision, life insurance, and disability benefits (depending on location) 
Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need 
Generous paid parental leave policies (depending on your location) 
Free access to global on-site wellness centers staffed with nurses and doctors (depending on location) 
Free and confidential counseling support through our Healthy Minds program 
Career development and training opportunities

American Express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, disability status, age, or any other status protected by law.

Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations."
Analytics and Modeling Analyst,Accenture in India,"Human Resources are at the heart of Accenture, unleashing the power of talent in everything we do. We take pride in making a real impact on the careers and well-being of our people, and ensuring Accenture is one of the most inclusive and diverse organizations in the world. Join us as we pursue our ultimate ambition—to be the best place for the most highly specialized talent on the planet.

Corporate Functions—including Human Resources, Finance, Legal, Marketing and Communications, and Workplace Solutions--offers the essential expertise that enables our more than 394,000 employees to deliver high performance to our clients. Be the engine that powers Accenture, a $31 billion company that provides consulting and outsourcing services to more than 40 industries--including 94 of the Fortune 100, and governments around the world.

JOB SUMMARY (a Few Sentences)

We are seeking a talented and experienced Gen AI Practitioner to join our team. As a Gen AI Practitioner, you will play a key role in driving the successful execution of Gen AI projects. You will have the opportunity to apply your knowledge and skills in artificial intelligence to deliver innovative solutions. You will collaborate with cross-functional teams, manage project timelines, and ensure the successful implementation of Gen AI initiatives.

Key Responsibilities (bullets)

Collaborate with stakeholders to define project requirements, objectives, and deliverables.
Assist in the planning and execution of Gen AI projects, ensuring adherence to project timelines and budgets.
Coordinate and manage cross-functional teams, including data scientists, engineers, and business analysts.
Conduct research and analysis to support project decision-making and problem-solving.
Develop and maintain project documentation, including project plans, status reports, and risk assessments.
Monitor project progress, identify risks and issues, and implement mitigation strategies.
Ensure effective communication and collaboration between team members and stakeholders.
Stay updated with the latest advancements in artificial intelligence technologies and methodologies.


Basic Qualifications (bullets)

Bachelor's or Master's degree in Computer Science, Data Science, or a related field.
Strong understanding of artificial intelligence concepts and technologies, such as machine learning and data analysis.
Experience with popular AI frameworks and libraries such as TensorFlow, PyTorch, or scikit-learn.
Strong leadership and project management skills, with the ability to drive projects to successful completion.
Excellent communication and interpersonal skills, with the ability to collaborate effectively with technical and non-technical stakeholders.
Strong problem-solving and analytical abilities, with a focus on delivering practical and impactful solutions.
Ability to adapt to changing project requirements and priorities in a fast-paced environment.
Experience in Agile project management methodologies is a plus.
Passion for driving innovation and leveraging artificial intelligence to solve business challenges.


OUR COMMITMENT TO YOU:

You’ll benefit from our network of global communities and collaborative culture that will help you build technical and functional skills and capabilities. And because we serve more than 40 industries globally, you’ll have the opportunity to develop valuable industry-specific expertise.
The scale of our capabilities and client engagements—and the unique way we innovate, operate and deliver value—will give you the opportunity to deepen your existing skills even as you help create the latest technology trends. 
You’ll have access to leading-edge technology.
Accenture offers a comprehensive benefits package – learn more here (insert appropriate link specific to country).


CALL TO ACTION: 

If you have a desire to help the world’s leading companies and governments, now’s the time to join the world’s largest and most diversified group of technology, business process and consulting professionals. Be part of a dynamic team of collaborative experts, and help us improve the way the world works and lives."
